,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,BF10,hedges
0,condition,ccc,cci,True,True,-0.8112379702234574,23.0,two-sided,0.42554489304678067,0.289,-0.06733115828932452
1,condition,ccc,cic,True,True,-0.4664929816967849,23.0,two-sided,0.645251025332038,0.237,-0.03722788935425191
2,condition,ccc,cii,True,True,-0.8171042756199413,23.0,two-sided,0.4222525168604555,0.29,-0.07877493282154321
3,condition,ccc,icc,True,True,0.38914008354562585,23.0,two-sided,0.700752025782911,0.23,0.026797837845632902
4,condition,ccc,ici,True,True,-2.1200901558614325,23.0,two-sided,0.045000737002536324,1.414,-0.1316809334860851
5,condition,ccc,iic,True,True,-0.19471418706324775,23.0,two-sided,0.8473264158741045,0.218,-0.014701392161005206
6,condition,ccc,iii,True,True,-1.3334574093929557,23.0,two-sided,0.19543861057930664,0.471,-0.08406697649800876
7,condition,ccc,newcc,True,True,0.22087882938239833,23.0,two-sided,0.8271358400711395,0.22,0.011238816814269761
8,condition,ccc,newci,True,True,-1.3031012226492789,23.0,two-sided,0.20543561693419438,0.455,-0.08620640120389744
9,condition,ccc,newic,True,True,-0.059551438639993216,23.0,two-sided,0.9530273098125746,0.215,-0.0037498722725182476
10,condition,ccc,newii,True,True,-0.7240172583690553,23.0,two-sided,0.4763556227871045,0.272,-0.04838805600446343
11,condition,cci,cic,True,True,0.43617293523416967,23.0,two-sided,0.6667780666114437,0.234,0.028913710139743743
12,condition,cci,cii,True,True,-0.1942910545455331,23.0,two-sided,0.8476538562773486,0.218,-0.012408108356219265
13,condition,cci,icc,True,True,1.6227036903647032,23.0,two-sided,0.11828146211556331,0.674,0.09296480162061233
14,condition,cci,ici,True,True,-0.9167538238657065,23.0,two-sided,0.36878486534446075,0.313,-0.062238813236871714
15,condition,cci,iic,True,True,0.6232265051547328,23.0,two-sided,0.5392672662362166,0.256,0.052862768697044205
16,condition,cci,iii,True,True,-0.17276193352221506,23.0,two-sided,0.8643498580719845,0.218,-0.014252609951900325
17,condition,cci,newcc,True,True,1.0878143800364686,23.0,two-sided,0.28794547204735443,0.364,0.07799742896306205
18,condition,cci,newci,True,True,-0.3206187511865139,23.0,two-sided,0.7513942185484777,0.225,-0.017769292173678952
19,condition,cci,newic,True,True,0.8666809702805968,23.0,two-sided,0.39506864323418345,0.301,0.06228116897259514
20,condition,cci,newii,True,True,0.2591509413225552,23.0,two-sided,0.7978241545497404,0.221,0.01801123935691263
21,condition,cic,cii,True,True,-0.5281171156182621,23.0,two-sided,0.6024768649031202,0.244,-0.04073792239908033
22,condition,cic,icc,True,True,1.1031443553007667,23.0,two-sided,0.2813734788255621,0.37,0.06288444490362931
23,condition,cic,ici,True,True,-1.5897356733089876,23.0,two-sided,0.1255472572567798,0.645,-0.09096458990871477
24,condition,cic,iic,True,True,0.34193380378537974,23.0,two-sided,0.735505374527003,0.226,0.02292970531585317
25,condition,cic,iii,True,True,-0.6110965148371921,23.0,two-sided,0.5471283382067669,0.254,-0.04390655635363738
26,condition,cic,newcc,True,True,0.8144461891978658,23.0,two-sided,0.42374235196862786,0.29,0.04794139096400295
27,condition,cic,newci,True,True,-0.9737402494788457,23.0,two-sided,0.34031605902202133,0.329,-0.046826314017102286
28,condition,cic,newic,True,True,0.5311450381248769,23.0,two-sided,0.6004105812025314,0.244,0.03283181235532758
29,condition,cic,newii,True,True,-0.17264399684596865,23.0,two-sided,0.8644415045791498,0.218,-0.010825261207357731
30,condition,cii,icc,True,True,1.2938334907914664,23.0,two-sided,0.20856542158924088,0.45,0.10385849776746651
31,condition,cii,ici,True,True,-0.5609440424040386,23.0,two-sided,0.5802601115035071,0.248,-0.04864257076244549
32,condition,cii,iic,True,True,0.5584135633161326,23.0,two-sided,0.5819580656756014,0.247,0.06455813610038225
33,condition,cii,iii,True,True,-0.011483323128456804,23.0,two-sided,0.9909368622872463,0.215,-0.0012318299382205657
34,condition,cii,newcc,True,True,1.0872973500576346,23.0,two-sided,0.2881690332800425,0.364,0.08919982971164406
35,condition,cii,newci,True,True,-0.067453808445791,23.0,two-sided,0.9468033973978005,0.215,-0.0049355332505267155
36,condition,cii,newic,True,True,0.8432980935602228,23.0,two-sided,0.4077468229005401,0.296,0.07361790398478725
37,condition,cii,newii,True,True,0.3770734551111788,23.0,two-sided,0.7095757862321278,0.229,0.030024541963974926
38,condition,icc,ici,True,True,-3.361514925228751,23.0,two-sided,0.0026985269812512384,14.786,-0.15709050187660303
39,condition,icc,iic,True,True,-0.6270374359525734,23.0,two-sided,0.5368100282474728,0.257,-0.04132765912045029
40,condition,icc,iii,True,True,-1.7274591224844944,23.0,two-sided,0.09749210682515619,0.778,-0.11037592624701162
41,condition,icc,newcc,True,True,-0.29820965299140034,23.0,two-sided,0.768220533026491,0.224,-0.015523721514153155
42,condition,icc,newci,True,True,-3.004234610507488,23.0,two-sided,0.006327104557796945,7.127,-0.11195849718920242
43,condition,icc,newic,True,True,-0.6394885469446311,23.0,two-sided,0.5288237655377797,0.258,-0.02993184745389424
44,condition,icc,newii,True,True,-1.5726244465486419,23.0,two-sided,0.12946228681269614,0.63,-0.07396435644071604
45,condition,ici,iic,True,True,1.6095472983179415,23.0,two-sided,0.12113775593496734,0.662,0.11694710464061321
46,condition,ici,iii,True,True,0.7530286860208104,23.0,two-sided,0.4590717342702515,0.277,0.049690819010349795
47,condition,ici,newcc,True,True,2.7403983850501255,23.0,two-sided,0.011656813221844321,4.259,0.1421731719035907
48,condition,ici,newci,True,True,0.9271810428669964,23.0,two-sided,0.3634606268416948,0.316,0.04489830638789253
49,condition,ici,newic,True,True,2.47490934217916,23.0,two-sided,0.02112954846028436,2.602,0.12526518519048888
