,Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,BF10,hedges
0,condition,ccc,cci,TRUE,TRUE,1.965720015,23,two-sided,0.061517196,1.106,0.422022705
1,condition,ccc,cic,TRUE,TRUE,0.927222913,23,two-sided,0.363439352,0.316,0.210195588
2,condition,ccc,cii,TRUE,TRUE,2.691809309,23,two-sided,0.013018561,3.884,0.618753621
3,condition,ccc,icc,TRUE,TRUE,0.47932433,23,two-sided,0.63623405,0.238,0.136832564
4,condition,ccc,ici,TRUE,TRUE,0.658995256,23,two-sided,0.516442774,0.261,0.162267944
5,condition,ccc,iic,TRUE,TRUE,0.595977949,23,two-sided,0.557010212,0.252,0.142425739
6,condition,ccc,iii,TRUE,TRUE,2.263774358,23,two-sided,0.033330085,1.797,0.491235418
7,condition,ccc,newcc,TRUE,TRUE,0.91217941,23,two-sided,0.371136855,0.312,0.22348417
8,condition,ccc,newci,TRUE,TRUE,1.748331276,23,two-sided,0.09374416,0.801,0.436783676
9,condition,ccc,newic,TRUE,TRUE,0.412776896,23,two-sided,0.683592712,0.232,0.087456818
10,condition,ccc,newii,TRUE,TRUE,0.971663011,23,two-sided,0.341326738,0.328,0.288850806
11,condition,cci,cic,TRUE,TRUE,-0.796684015,23,two-sided,0.433781812,0.286,-0.212683546
12,condition,cci,cii,TRUE,TRUE,0.445136896,23,two-sided,0.6603821,0.235,0.111657101
13,condition,cci,icc,TRUE,TRUE,-1.269019833,23,two-sided,0.217126546,0.438,-0.298622862
14,condition,cci,ici,TRUE,TRUE,-1.111250006,23,two-sided,0.277942743,0.373,-0.253511732
15,condition,cci,iic,TRUE,TRUE,-0.771258292,23,two-sided,0.448405435,0.281,-0.218061796
16,condition,cci,iii,TRUE,TRUE,0.531384574,23,two-sided,0.600247266,0.244,0.145704103
17,condition,cci,newcc,TRUE,TRUE,-1.41916132,23,two-sided,0.169262985,0.52,-0.299375756
18,condition,cci,newci,TRUE,TRUE,-0.593790233,23,two-sided,0.558447805,0.252,-0.145665963
19,condition,cci,newic,TRUE,TRUE,-1.764001875,23,two-sided,0.091011821,0.819,-0.421078989
20,condition,cci,newii,TRUE,TRUE,-0.877925924,23,two-sided,0.389063067,0.304,-0.236210155
21,condition,cic,cii,TRUE,TRUE,1.357065634,23,two-sided,0.187929942,0.484,0.361009972
22,condition,cic,icc,TRUE,TRUE,-0.379481871,23,two-sided,0.707811255,0.229,-0.080768102
23,condition,cic,ici,TRUE,TRUE,-0.169947807,23,two-sided,0.866537194,0.218,-0.043986706
24,condition,cic,iic,TRUE,TRUE,-0.127757152,23,two-sided,0.899451626,0.216,-0.033259864
25,condition,cic,iii,TRUE,TRUE,1.154564298,23,two-sided,0.260124373,0.389,0.323474028
26,condition,cic,newcc,TRUE,TRUE,-0.193224584,23,two-sided,0.848479267,0.218,-0.046524005
27,condition,cic,newci,TRUE,TRUE,0.478374761,23,two-sided,0.636899397,0.238,0.130984867
28,condition,cic,newic,TRUE,TRUE,-0.684310112,23,two-sided,0.500617106,0.265,-0.174819465
29,condition,cic,newii,TRUE,TRUE,0.07767233,23,two-sided,0.93876047,0.215,0.018065702
30,condition,cii,icc,TRUE,TRUE,-1.796093825,23,two-sided,0.085628778,0.858,-0.471519655
31,condition,cii,ici,TRUE,TRUE,-1.410585169,23,two-sided,0.171749434,0.515,-0.40684615
32,condition,cii,iic,TRUE,TRUE,-1.330567378,23,two-sided,0.196373693,0.469,-0.341283155
33,condition,cii,iii,TRUE,TRUE,0.250828646,23,two-sided,0.804173821,0.221,0.067817316
34,condition,cii,newcc,TRUE,TRUE,-2.009864741,23,two-sided,0.056317693,1.185,-0.519503217
35,condition,cii,newci,TRUE,TRUE,-1.629318678,23,two-sided,0.116866731,0.68,-0.340652324
36,condition,cii,newic,TRUE,TRUE,-2.867036997,23,two-sided,0.008713089,5.437,-0.679556025
37,condition,cii,newii,TRUE,TRUE,-1.512973626,23,two-sided,0.143907121,0.584,-0.436277361
38,condition,icc,ici,TRUE,TRUE,0.126474701,23,two-sided,0.900455321,0.216,0.034018103
39,condition,icc,iic,TRUE,TRUE,0.135887975,23,two-sided,0.893092195,0.216,0.033913263
40,condition,icc,iii,TRUE,TRUE,1.292780747,23,two-sided,0.208923262,0.45,0.393636389
41,condition,icc,newcc,TRUE,TRUE,0.240273183,23,two-sided,0.812247137,0.22,0.053671677
42,condition,icc,newci,TRUE,TRUE,1.096536881,23,two-sided,0.284192697,0.367,0.253237142
43,condition,icc,newic,TRUE,TRUE,-0.321260766,23,two-sided,0.750913956,0.225,-0.084434599
44,condition,icc,newii,TRUE,TRUE,0.479498081,23,two-sided,0.636112339,0.238,0.121727143
45,condition,ici,iic,TRUE,TRUE,0.015537177,23,two-sided,0.987737619,0.215,0.004745634
46,condition,ici,iii,TRUE,TRUE,1.344539323,23,two-sided,0.191885242,0.477,0.356442797
47,condition,ici,newcc,TRUE,TRUE,0.035519349,23,two-sided,0.971972093,0.215,0.008596168
48,condition,ici,newci,TRUE,TRUE,0.696032335,23,two-sided,0.49338275,0.267,0.187191493
49,condition,ici,newic,TRUE,TRUE,-0.479314179,23,two-sided,0.63624116,0.238,-0.117582037
50,condition,ici,newii,TRUE,TRUE,0.288207151,23,two-sided,0.775769441,0.223,0.071795339
51,condition,iic,iii,TRUE,TRUE,1.403046707,23,two-sided,0.17395902,0.51,0.322311097
52,condition,iic,newcc,TRUE,TRUE,0.005565519,23,two-sided,0.995607374,0.215,0.001392498
53,condition,iic,newci,TRUE,TRUE,0.552503617,23,two-sided,0.585933262,0.247,0.144122535
54,condition,iic,newic,TRUE,TRUE,-0.405467868,23,two-sided,0.688880701,0.231,-0.099718666
55,condition,iic,newii,TRUE,TRUE,0.182930283,23,two-sided,0.856455667,0.218,0.053009762
56,condition,iii,newcc,TRUE,TRUE,-1.449955316,23,two-sided,0.160571546,0.54,-0.394861264
57,condition,iii,newci,TRUE,TRUE,-1.016565146,23,two-sided,0.319935349,0.341,-0.280610948
58,condition,iii,newic,TRUE,TRUE,-1.710230504,23,two-sided,0.100681277,0.759,-0.485135531
59,condition,iii,newii,TRUE,TRUE,-1.17750798,23,two-sided,0.251034206,0.398,-0.347091052
60,condition,newcc,newci,TRUE,TRUE,1.351914504,23,two-sided,0.189548629,0.481,0.282955394
61,condition,newcc,newic,TRUE,TRUE,-0.919103077,23,two-sided,0.367580819,0.314,-0.200948166
62,condition,newcc,newii,TRUE,TRUE,0.393138715,23,two-sided,0.697837412,0.23,0.093847541
63,condition,newci,newic,TRUE,TRUE,-2.207730601,23,two-sided,0.037508637,1.634,-0.52671637
64,condition,newci,newii,TRUE,TRUE,-0.726240288,23,two-sided,0.475017904,0.273,-0.167283827
65,condition,newic,newii,TRUE,TRUE,1.033721166,23,two-sided,0.312014125,0.346,0.290053594
